Movie release date,Number of movies,Ngrams and score
The 9/11 Attacks and the War on Terrorism (2001-present),8676,"[['film' 49.04403268688988]
 ['life' 41.37299190605942]
 ['father' 36.55970027014496]
 ['man' 35.419071008151164]
 ['family' 35.160890541317805]
 ['love' 33.947020659091095]
 ['story' 31.465677733962927]
 ['mother' 31.34514369882311]
 ['young' 30.471348298691318]
 ['new' 27.99988113953594]]"
The Belle Ã‰poque (1900-1914),249,"[['film' 2.224616352848514]
 ['man' 1.802431151302835]
 ['news' 1.7129644426546742]
 ['cite' 1.579171384380734]
 ['cite news' 1.561932678316363]
 ['wife' 1.4434335715199869]
 ['girl' 1.2015295662026317]
 ['love' 1.1964144841629605]
 ['daughter' 1.1654339252647476]
 ['murder' 1.1611452041184678]]"
The Civil Rights and Social Equality Struggles (1950s-1970s),6394,"[['film' 22.645080240441334]
 ['man' 20.506901328601]
 ['love' 18.46277637545403]
 ['father' 16.95284071191083]
 ['young' 16.65849351996199]
 ['life' 15.60341550216977]
 ['wife' 15.404530852008152]
 ['family' 15.299419500486783]
 ['new' 14.379804598982394]
 ['son' 13.955769515018805]]"
The Cold War and McCarthyism (1947-1991),4390,"[['film' 19.84992881762424]
 ['man' 15.845246263706864]
 ['father' 14.622687826732488]
 ['family' 14.139761262237196]
 ['young' 14.06093272478784]
 ['love' 13.56967858876089]
 ['life' 13.188778323424515]
 ['wife' 13.174061419781635]
 ['woman' 11.42242411299762]
 ['new' 11.215022760457323]]"
The Great Depression (1929-1939),1634,"[['film' 6.6456820877966365]
 ['love' 6.019102423553236]
 ['man' 5.561215224123004]
 ['father' 5.5043947317786435]
 ['young' 5.149224807641542]
 ['wife' 4.9227606828705746]
 ['money' 4.679539172449129]
 ['new' 4.646396117945048]
 ['story' 4.501655847646758]
 ['porky' 4.230038860901355]]"
The Post-Cold War and the New World Order (1991-2001),4492,"[['film' 24.39765011536262]
 ['father' 19.946446486521854]
 ['family' 19.069133558532478]
 ['man' 18.470368825592608]
 ['love' 17.7761206290436]
 ['life' 17.024631182545498]
 ['mother' 15.608963627188222]
 ['young' 15.388011312911841]
 ['new' 14.90267530647611]
 ['time' 14.565882912504236]]"
The Reagan Years and the Rise of Neoliberalism (1980s),3727,"[['film' 20.314592039522744]
 ['family' 15.479618241429305]
 ['father' 14.774676368885624]
 ['love' 14.261253190296593]
 ['man' 14.238770222797188]
 ['life' 13.181905931680376]
 ['young' 13.035226712196556]
 ['son' 12.439488809638595]
 ['mother' 11.825400749288333]
 ['house' 11.668406681908582]]"
The Roaring Twenties (1920-1929),648,"[['man' 3.123996174233623]
 ['love' 2.882555337715373]
 ['father' 2.7026395717912135]
 ['daughter' 2.3094327113692454]
 ['falls' 2.2811063027724825]
 ['young' 2.279393054719579]
 ['wife' 2.2489132926968862]
 ['woman' 2.160544946792308]
 ['film' 2.1439528674642685]
 ['girl' 2.092613436123315]]"
World War I (1914-1918),258,"[['news' 1.397168468314389]
 ['cite' 1.3710979117271873]
 ['cite news' 1.3710979117271873]
 ['man' 1.3699168983767074]
 ['jack' 1.266779648824333]
 ['german' 1.1784989535561683]
 ['love' 1.1767743235966985]
 ['sydney' 1.1659771913471686]
 ['film' 1.12298637785621]
 ['falls' 1.1156629916294305]]"
World War II (1939-1945),1553,"[['film' 6.236706175728903]
 ['father' 5.393141280212242]
 ['war' 5.382335807555687]
 ['love' 5.138315378743701]
 ['bugs' 4.691445091789066]
 ['man' 4.600392325316481]
 ['new' 4.358461399881508]
 ['woman' 4.169960131204477]
 ['german' 4.074987796674447]
 ['home' 4.064431214120989]]"
